date,cash,stock_value,total_value
2025-10-01 10:00:00,10000.0,0.0,10000.0
2025-10-01 11:00:00,9744.47,0.0,9744.47
2025-10-01 11:00:00,9370.07,0.0,9370.07
2025-10-01 11:00:00,8930.71,441.4526,9372.1626
2025-10-01 11:00:00,8448.33,927.6526,9375.9826
2025-10-01 11:00:00,7961.325,927.6526,8888.9776
2025-10-01 11:00:00,7465.9349999999995,1422.6976,8888.632599999999
2025-10-01 11:00:00,6992.1651999999995,1897.3025000000002,8889.4677
2025-10-01 11:00:00,6568.955199999999,1897.3025000000002,8466.2577
2025-10-01 11:00:00,6063.785199999999,2403.2831,8467.068299999999
2025-10-01 11:00:00,5616.305199999999,2852.5231000000003,8468.8283
2025-10-01 11:00:00,5129.105199999999,3340.0731000000005,8469.1783
2025-10-01 12:00:00,4941.835199999999,3343.6384,8285.473599999998
2025-10-01 12:00:00,4685.735199999998,3343.6384,8029.373599999998
2025-10-01 12:00:00,4171.825199999998,3860.6434,8032.468599999998
2025-10-01 12:00:00,3181.3193999999985,4853.2306,8034.549999999998
2025-10-01 12:00:00,2268.8693999999987,4853.2306,7122.0999999999985
2025-10-01 12:00:00,2437.5493999999985,4684.0502,7121.599599999998
2025-10-01 12:00:00,2031.0493999999985,5089.2502,7120.2995999999985
2025-10-01 12:00:00,1695.0493999999985,5421.4827000000005,7116.5320999999985
2025-10-01 12:00:00,1295.7279999999985,5818.7683,7114.496299999998
2025-10-01 12:00:00,921.1879999999985,5818.7683,6739.956299999998
2025-10-01 12:00:00,1124.6200999999985,5615.634400000001,6740.254499999999
2025-10-01 12:00:00,610.7100999999985,6132.639400000001,6743.349499999999
2025-10-01 12:00:00,274.5450999999985,6132.639400000001,6407.184499999999
2025-10-01 12:00:00,102.3410999999985,6304.071900000001,6406.413
2025-10-01 12:00:00,8.861399999998497,6397.071900000001,6405.9333
2025-10-01 13:00:00,1001.4934999999986,5410.4913,6411.984799999998
2025-10-01 13:00:00,1350.2434999999987,5060.2413,6410.484799999998
2025-10-01 13:00:00,1549.5928999999987,4861.305899999999,6410.898799999998
2025-10-01 13:00:00,1652.4478999999988,4755.8559000000005,6408.3038
2025-10-01 13:00:00,1091.1928999999986,4755.8559000000005,5847.048799999999
2025-10-01 13:00:00,574.1928999999986,5273.5159,5847.7087999999985
2025-10-01 13:00:00,642.7628999999986,5203.215900000001,5845.9788
2025-10-01 13:00:00,268.59289999999856,5203.215900000001,5471.8088
2025-10-01 13:00:00,401.4924999999986,5070.592300000001,5472.0848
2025-10-01 13:00:00,77.57769999999857,5070.592300000001,5148.17
2025-10-01 14:00:00,170.77269999999857,4989.9616000000005,5160.734299999999
2025-10-01 14:00:00,310.87269999999853,4849.9416,5160.814299999998
2025-10-01 14:00:00,126.67269999999854,5034.5866,5161.259299999998
2025-10-01 14:00:00,21.192699999998553,5140.6669,5161.859599999999
2025-10-01 15:00:00,56.558099999998554,5102.611199999999,5159.169299999998
2025-10-01 15:00:00,192.38869999999855,4965.9958,5158.384499999998
2025-10-01 15:00:00,3.2836999999985608,5155.4158,5158.699499999998
2025-10-01 15:00:00,168.49369999999857,4988.9258,5157.419499999998
2025-10-01 15:00:00,55.513699999998565,5101.6358,5157.149499999999
2025-10-02 10:00:00,392.75369999999856,5093.1176,5485.871299999998
2025-10-02 10:00:00,428.61869999999857,5056.8021,5485.420799999998
2025-10-02 10:00:00,259.63369999999856,5224.4166,5484.050299999998
2025-10-02 10:00:00,191.36579999999856,5292.6696,5484.035399999999
2025-10-02 10:00:00,48.43579999999855,5292.6696,5341.105399999999
2025-10-02 10:00:00,84.30079999999856,5256.3541,5340.654899999998
2025-10-02 10:00:00,421.54079999999857,5256.3541,5677.894899999998
2025-10-02 10:00:00,489.80869999999857,5188.1011,5677.9097999999985
2025-10-02 10:00:00,316.82869999999855,5361.6011,5678.429799999998
2025-10-02 10:00:00,97.14869999999854,5581.781099999999,5678.929799999998
2025-10-02 10:00:00,34.50869999999854,5644.111099999999,5678.619799999998
2025-10-02 10:00:00,413.06869999999856,5644.111099999999,6057.179799999998
2025-10-02 10:00:00,931.5136999999986,5129.081099999999,6060.594799999998
2025-10-02 10:00:00,762.8936999999986,5129.081099999999,5891.974799999998
2025-10-02 10:00:00,935.8736999999986,4955.581099999999,5891.454799999998
2025-10-02 10:00:00,557.3136999999986,4955.581099999999,5512.894799999998
2025-10-02 10:00:00,38.86869999999851,5470.611099999999,5509.479799999997
2025-10-02 10:00:00,239.44359999999853,5271.4782,5510.921799999998
2025-10-02 10:00:00,70.82359999999852,5271.4782,5342.301799999998
2025-10-02 10:00:00,408.06359999999853,5271.4782,5679.541799999998
2025-10-02 10:00:00,476.3314999999985,5203.2252,5679.556699999998
2025-10-02 10:00:00,644.9514999999985,5203.2252,5848.176699999998
2025-10-02 10:00:00,845.5263999999986,5004.092299999999,5849.618699999998
2025-10-02 10:00:00,1014.5113999999986,4836.4778,5850.989199999998
2025-10-02 10:00:00,1532.9563999999987,4321.4478,5854.404199999999
2025-10-02 10:00:00,1752.6363999999987,4101.2678,5853.904199999998
2025-10-02 10:00:00,2663.4173999999985,4101.2678,6764.685199999998
2025-10-02 10:00:00,1717.0173999999984,4101.2678,5818.285199999998
2025-10-02 10:00:00,1210.0623999999984,4604.1113,5814.173699999998
2025-10-02 10:00:00,1278.3302999999985,4535.858299999999,5814.188599999998
2025-10-02 10:00:00,554.9302999999985,4535.858299999999,5090.788599999997
2025-10-02 10:00:00,176.3702999999985,4535.858299999999,4712.228599999998
2025-10-02 10:00:00,3.3902999999985184,4709.358299999999,4712.748599999997
2025-10-02 11:00:00,949.7402999999986,4714.8949999999995,5664.635299999998
