date,cash,stock_value,total_value
2025-10-01 10:00:00,10000.0,0.0,10000.0
2025-10-01 11:00:00,10000.0,0.0,10000.0
2025-10-01 12:00:00,10000.0,0.0,10000.0
2025-10-01 13:00:00,10000.0,0.0,10000.0
2025-10-01 14:00:00,10000.0,0.0,10000.0
2025-10-01 15:00:00,10000.0,0.0,10000.0
2025-10-02 10:00:00,7156.0,0.0,7156.0
2025-10-02 11:00:00,7156.0,0.0,7156.0
2025-10-02 12:00:00,7156.0,0.0,7156.0
2025-10-02 13:00:00,7156.0,0.0,7156.0
2025-10-02 14:00:00,7156.0,0.0,7156.0
2025-10-02 15:00:00,4567.8,2578.05,7145.85
2025-10-02 15:00:00,2881.05,2578.05,5459.1
2025-10-02 15:00:00,803.0500000000002,4634.151,5437.201
2025-10-02 15:00:00,107.83000000000015,4634.151,4741.981
2025-10-03 10:00:00,107.83000000000015,4662.0288,4769.8588
2025-10-03 11:00:00,107.83000000000015,4665.217000000001,4773.0470000000005
2025-10-03 12:00:00,107.83000000000015,4667.9432,4775.7732
2025-10-03 13:00:00,107.83000000000015,4642.453799999999,4750.283799999999
2025-10-03 14:00:00,107.83000000000015,4646.654,4754.484
2025-10-03 15:00:00,107.83000000000015,4647.622600000001,4755.4526000000005
2025-10-06 10:00:00,560.7200000000001,9799.2744,10359.9944
2025-10-06 11:00:00,560.7200000000001,9811.3952,10372.1152
2025-10-06 12:00:00,560.7200000000001,9800.678399999999,10361.398399999998
2025-10-06 13:00:00,560.7200000000001,9826.5548,10387.2748
2025-10-06 14:00:00,560.7200000000001,9827.2906,10388.0106
2025-10-06 15:00:00,71.16000000000014,10309.754799999999,10380.914799999999
2025-10-06 15:00:00,2.7250000000001364,10378.674799999999,10381.3998
2025-10-07 10:00:00,561.4150000000001,9836.5676,10397.982600000001
2025-10-07 11:00:00,561.4150000000001,9791.1292,10352.5442
2025-10-07 12:00:00,561.4150000000001,9783.429,10344.844000000001
2025-10-07 13:00:00,561.4150000000001,9782.741399999999,10344.1564
2025-10-07 14:00:00,561.4150000000001,9788.5403,10349.955300000001
2025-10-07 15:00:00,131.7150000000001,10189.118,10320.833
2025-10-08 10:00:00,1178.275,9420.0824,10598.357399999999
2025-10-08 11:00:00,1178.275,9422.6906,10600.9656
2025-10-08 12:00:00,1178.275,9421.6301,10599.9051
2025-10-08 13:00:00,1178.275,9425.0934,10603.3684
2025-10-08 14:00:00,1178.275,9425.1064,10603.3814
2025-10-08 15:00:00,1924.555,8665.1878,10589.7428
2025-10-08 15:00:00,859.8050000000001,9842.9878,10702.792800000001
2025-10-08 15:00:00,192.16500000000008,10533.9878,10726.152800000002
